row_id,주제,내용,상세내용,주장/검증 매체,label
118,경제,"상장폐지 이후 정리매매 기간에 매도하지 않으면 더 이상 거래 방법이 없고, 평가금액은 0원이 된다","['거래', '주식', '평가', '금액', '장외', '상장폐지', '정리', '매매', '매도', '이후', '보유', '하지', '기간', '않으면', '방법', '시장', '온라인', '상장', '종목', '된다는', '않아도', '결정', '된다']",SNS 및 인터넷 커뮤니티,대체로 사실 아님
119,경제,산업기술 해외에 유출해도 솜방망이 처벌에 그친다,"['기술', '유출', '산업', '핵심', '국가', '확인', '최근', '해외', '처벌', '양형', '보호', '전자', '반도체', '기준', '통계', '지난해', '관련', '범죄', '사건', '특허청', '영업비밀', '규모', '최대', '사법', '연감', '실제', '자료', '내용', '징역', '이하']",SNS 및 인터넷 커뮤니티,대체로 사실
120,경제,윤석열 당선인이 최저임금 폐지 공약했다,"['폐지', '후보', '최저임금', '윤석열', '최저임금제', '발언', '했다', '최저', '대해', '당선자', '중소기업', '시급', '하는', '내용', '아닌', '없다', '제도', '철폐', '밝혔다', '해야', '온라인', '커뮤니티', '기간', '수정', '직접', '사업', '적용', '자리', '비현실적', '하겠다는', '따라']",인터넷 커뮤니티,전혀 사실 아님
121,경제,CPTPP 가입하면 해외 성인사이트 차단할 수 없다,"['가입', '있다', '차단', '규제', '협정', '온라인', '해외', '인사이트', '인터넷', '없다', '되고', '위해', '우리나라', '하면', '지금', '검열', '모두', '하기', '자유롭게', '디지털', '검토', '포괄', '점진', '환태평양', '동반', '유포', '이런', '했다', '있는데', '규정', '없애야', '통상', '정보', '인터뷰']","온라인 커뮤니티, 언론 보도",대체로 사실 아님
122,경제,"유명 중식당 하림각, 코로나19 때문에 영업 중단했다","['하림각', '언론', '내용', '코로나', '영업', '기사', '중단', '중식', '임대료', '이었다']",언론 보도,대체로 사실 아님
123,경제,대구 헬스장 관장이 코로나19로 인한 경제적 어려움으로 극단적 선택했다,"['코로나', '대구', '관장', '헬스장', '내용', '센터', '커뮤니티', '방역', '제한', '어려움', '인한', '인원', '확인', '했다', '헬스', '업계', '극단', '선택', '확산', '생긴', '운영', '이용', '경찰', '사망', '관련', '있다', '다수', '되는', '온라인', '영업', '경제', '때문', '재활', '치료', '시설', '하는', '직접']","SNS, 인터넷 커뮤니티",전혀 사실 아님
124,경제,정부가 마스크 공장 물량 다 가져가서 판매할 물량이 없다,"['내용', '판매', '물량', '업체', '정부', '마스크', '공장', '홈쇼핑', '근거', '여부', '온라인', '정보', '사가', '전혀']",온라인 커뮤니티 이용자,전혀 사실 아님
125,경제,"중국 당국이 공문을 통해 ""마늘이 예방책""이라고 권고했다","['마늘', '중국', '공문', '방책', '권고', '신종', '코로나바이러스', '당국', '이미지', '감염병', '섭취', '해당', '없음']",유튜버 및 온라인 커뮤니티 이용자,전혀 사실 아님
126,경제,해외 광산 매각 시 우리나라 자원개발률 급락한다,"['광산', '해외', '자원', '매각', '개발', '정부', '했다', '광업', '광물', '우리나라', '광해', '사업', '토비', '공단', '무경', '의원', '급락', '한다', '최근', '정책', '원자재', '관련', '지난해', '민간', '지난', '통해', '중단', '검토', '된다', '대란', '흑자', '실적', '확보', '하는', '들어서는', '투자', '규정', '자산', '구리', '코브레파', '달러', '적자', '중심']",한무경,대체로 사실
127,경제,"윤석열 정부 사외이사 이력 내각 후보자, 역대 정부 최다이다","['사외이사', '장관', '후보자', '정부', '경력', '내각', '임명', '기업', '경우', '공직자', '직행', '이명박', '있습니다', '입니다', '박근혜', '문재인', '공직', '취업', '초기', '후보', '발표', '했습니다', '이후', '있는', '국무총리', '고위', '인사청문회', '사임', '모두', '역대', '인사', '퇴직', '롯데', '대통령직', '위원회', '민간', '합니다', '이해충돌', '시행', '사람', '확인', '공무원', '윤석열', '각각', '이었습니다', '됩니다', '업무', '따라', '출신', '없습니다', '구성', '했던', '총리와', '보면', '절차', '있었습니다', '물러났습니다', '겁니다', '기간', '개월', '지나야']",언론사 자체 문제제기,사실
128,경제,차량등록비용 차이 때문에 위장전입하는 일들이 꽤 있었다,"['차량', '당시', '후보자', '매입', '했다', '등록', '경기도', '배우자', '공채', '서울시', '때문', '위장전입', '위장', '진씨', '다만', '구입', '비용', '전입', '지난', '자동차', '채권', '아파트', '비율', '수입', '개인', '지자체', '한다', '이상', '보도', '신차', '한동훈', '있다', '거주', '서울', '삼부', '경기', '구리시', '실제', '하지', '주민등록', '딜러', '차이', '경우', '정도', '사례', '적용', '하면', '할인', '보유', '배기량', '제공', '별로', '있어', '그런', '있었다고', '절감', '언론', '하는', '현재', '가격', '기준', '지금', '차액']",한동훈,판단 유보
129,경제,MB 시절 청와대에 4대강 사업을 담당하는 비서관이 따로 있었다,"['대강', '비서', '대표', '정부', '청와대', '이명박', '사업', '했다', '김동연', '당시', '경선', '담당', '지사', '민주당', '국정', '하는', '있었다', '의원', '후보', '경기', '지역', '안민석', '염태영', '새로운', '물결', '주자', '도전', '됐다', '살리기', '연관', '라디오', '뉴스', '추진', '적은', '정책', '브리핑', '예비', '더불어', '조정식', '수원시', '박근혜', '됐다고', '해명', '제비', '서관', '금융', '같은', '대해', '기획', '수석', '발전', '대통령실']",김동연,사실
130,경제,갤럭시S22가 출시된지 50일 만에 공짜폰이 됐다,"['공짜', '원금', '일부', '갤럭시', '번호', '시장', '과열', '없다', '관계자', '이동', '통신사', '됐다는', '모델', '유통', '했습니다']",언론 보도,대체로 사실 아님
131,경제,인천시장이 인천발 KTX 개통의 결정 권한을 갖고 있다,"['사업', '인천', '철도', '계획', '건설', '했다', '시행', '시장', '기간', '연기', '국토교통부', '수립', '국가', '공단', '있다', '기본', '실시', '개통', '지방자치단체', '고시', '통해', '이었다', '있는', '장관', '과정', '경우', '원인', '발표', '지연', '변경', '평택', '오송', '국토부', '협의', '결정', '일까', '대해', '확인', '결과', '이사장', '광역단체장', '승인', '누구', '하도록', '공사']",언론사 자체 검증,대체로 사실 아님
132,경제,8억에 판 목동 아파트가 6년 만에 26억 됐다,"['아파트', '후보자', '목동', '시세', '지난해', '부동산', '원희룡', '국토교통부', '면적', '거래', '매도', '장관', '했다', '지난', '유튜브', '서울', '지금', '올랐다', '주택', '배우자', '윤형', '면서', '강씨', '있다', '매일신문', '지사', '당선', '됐다', '현재', '호가', '부부', '당시', '지명', '일화', '되고', '대구', '채널', '관풍루', '출연', '남편', '내려갈', '싸게', '팔았는데', '대선', '출마', '국회의원', '제주', '공직자', '밝혔다', '공개', '평형', '했던', '공급', '세대', '없었다', '기준']",강윤형,전혀 사실 아님
133,경제,대우조선해양은 공기업이다,"['기관', '대우조선', '공기업', '정부', '해양', '공공기관', '지정', '이상', '하는', '위원회', '운영', '수입', '기업', '규정', '요건', '가진', '산업', '은행', '대통령직', '인수', '국민', '했다', '민간', '가운데', '법률', '출연', '규모']",원일희,전혀 사실 아님
134,경제,지난해 국가부채 2200조 원 육박해 GDP 넘어섰다,"['국가부채', '보도', '국가', '부채', '나랏빚', '언론', '재무제표', '발표', '정부', '규모', '기획재정부', '자료', '지난해', '국가채무', '회계', '결산', '했다', '올해', '돌파', '넘어섰다는', '기재부', '연도', '확정', '불어', '우리나라', '지난', '의무', '있고', '연금', '지표', '대비']",다수 언론 매체,전혀 사실 아님
135,경제,1회용품 규제하면 코로나19 감염 위험이 더 높아진다,"['코로나', '감염', '규제', '위험', '사용', '위원장', '했다', '밝혔다', '과학', '용품', '유예', '환경', '방역', '정부', '안철수', '지난', '면서', '한다', '질병', '포장', '손님', '발언', '단체', '하면', '관리', '용기', '바이러스', '인수위', '일회용', '정책', '식품', '매장', '하기로', '인수', '때문', '시행', '우려', '미국', '확산', '코로나비', '대응', '위원회', '회의', '되면', '요구', '폐기물', '취지', '지금', '하는', '생각', '전달', '반박', '높아지는지', '근거', '매우', '환경부', '식당', '해야', '여론', '자료']",언론사 자체 문제 제기,전혀 사실 아님
136,경제,윤석열 대통령 당선인의 공약인 '청년도약계좌'가 나오면 '청년희망적금'은 사라진다,"['청년', '희망', '적금', '계좌', '가입', '당선인', '도약', '했습니다', '중복', '공약', '사라진다는', '제도', '하는']",인터넷 커뮤니티,전혀 사실 아님
137,경제,청와대 개방의 경제효과가 2천억원에 이른다,"['효과', '유발', '경제', '했습니다', '청와대', '인수위', '자료', '개방', '연구원', '보고서', '생산', '방문객', '이른다는', '보도', '잇따르고', '문화', '체육관', '광부', '업무', '보고', '보도자료', '부가가치']",언론보도,대체로 사실 아님
138,경제,대통령 집무실 용산 이전 예산 496억은 기획재정부가 추산한 자료다,"['기재부', '비용', '이전', '국방부', '자료', '행안부', '제출', '부처', '당선인', '집무실', '했다', '하는', '예산', '기획재정부', '추계', '공식', '과정', '관련', '대통령', '논란', '제시', '인수위', '요구', '없다고', '발언', '용산', '받은', '더불어', '민주당', '나온', '실무', '협의', '다만', '비비', '단계', '최종']",윤석열,절반의 사실
139,경제,윤석열 당선인의 양도세 폐지 공약이 개인투자자의 실익과는 딱히 상관없다,"['도세', '투자자', '폐지', '주식', '개인', '공약', '대상', '상위', '대한', '실익', '양도', '거래', '커뮤니티', '양도소득세', '온라인', '세제', '대다수', '따르면', '소득', '대부분', '나타났다', '후보', '있을지에', '의문', '올라왔다', '지원', '당선인', '개정안', '경우', '과세', '했다', '국세청', '자료', '전체', '실제', '부과', '주주', '소액']",인터넷 커뮤니티,대체로 사실
140,경제,청년희망적금 사라진다,"['청년', '희망', '적금', '사라진다', '최근', '온라인', '커뮤니티', '확산']",온라인 커뮤니티,전혀 사실 아님
141,경제,국가 부채는 다른 나라에 진 빚이 아니다,"['국가', '부채', '채무', '아니다', '후보', '다른', '개념', '나라', '때문', '적정', '국내', '했다', '포함', '대선', '규모', '우리', '채권', '국제', '발언', '하는', '정부', '연금', '충당', '대외', '기관', '이는', '되는', '입금', '없다', '건전성', '직접', '기금', '확정', '국채', '한다', '차입']",이재명,대체로 사실
142,경제,우리나라가 공공 데이터 개방에 소극적이다,"['데이터', '개방', '공공', '후보', '안철수', '비해', '한국', '외국', '미국', '조사', '지수', '우리나라', '대상', '수준', '발언', '했다', '공개', '있다', '비교', '점수', '다만', '지적', '국가']",안철수,대체로 사실 아님
143,경제,외환위기 당시 지원한 공적자금 상당 부분 회수됐다,"['회수', '후보', '당시', '공적자금', '했다', '외환위기', '지원', '상당', '부분', '발표', '윤석열', '지금', '금융', '위원회', '이재명', '투입', '대해', '자금', '조성']",윤석열,절반의 사실
144,경제,주식 양도소득세는 소액 투자자에게 치명적이다,"['주식', '양도소득세', '과세', '대만', '후보', '윤석열', '소액', '투자자', '당시', '소득', '했다', '거래', '도입', '사례', '부과', '시장', '상황', '우리나라', '치명', '주가', '폭락', '영향', '정부', '금융']",윤석열,판단 유보
145,경제,"우리나라 불평등, 선진국 중 가장 심하다","['불평등', '소득', '선진국', '세계', '보고서', '우리나라', '했다', '상위', '후보', '심상정', '가장', '집중', '미국', '정의당', '심한', '전체', '발언', '한국']",심상정,대체로 사실
146,경제,우리나라가 기축통화국이 될 가능성이 매우 크다,"['거래', '기축통화', '발표', '원화', '보도자료', '전경련', '통화', '비중', '후보', '우리나라', '가능성', '매우', '크다', '발언', '한국은행', '이재명', '민주당', '경제', '지난', '세계', '외환', '상품', '시장', '추이']",이재명,전혀 사실 아님
147,경제,부채 증가가 심각하며 이를 재정 준칙으로 관리할 수 있다,"['후보', '부채', '재정', '국가', '증가', '입니다', '규모', '했습니다', '있습니다', '윤석열', '추경', '문제', '준칙', '추경안', '수준', '한국', '공약', '증세', '재원', '토론회', '때문', '추가', '우리', '해결', '정부', '대비', '분석', '관리', '보고서', '비율', '예상', '책임', '기준']",윤석열,절반의 사실
148,경제,LTV 80% 완화 공약 유지했다,"['후보', '했다', '공약', '발표', '윤석열', '유지', '보도', '국민', '완화', '언론', '대선', '있다', '주택', '이재명', '이후', '지금', '지난', '공식', '더불어', '민주당', '지상파', '대통령', '초청', '토론', '아무', '설명', '하다', '바꿨다', '지적', '반박', '최대', '해도', '발언', '대체로', '한다', '기사', '올리겠다고']",윤석열,대체로 사실
149,경제,"한국노총의 이재명 지지 선언, 정치 중립 의무를 깼다","['한국', '노총', '후보', '지지', '이재명', '정치', '중립', '대선', '선언', '제목', '지난', '민주당', '언론', '보도', '의무', '결정', '더불어', '기사', '규약', '오후', '했다', '조합원', '노동조합', '논란', '의원', '대통령선거', '깨고', '투표', '소속', '하기로', '하자', '깼다는', '나와', '일었다', '대회', '경제']",언론사 자체 문제제기,전혀 사실 아님
150,경제,2011년까지 450조 규모의 원자력 해체 시장이 예상된다,"['해체', '원전', '시장', '전망', '했다', '선진국', '후보', '규모', '보고서', '정부', '산업', '딜로이트', '따르면', '가동', '있다', '하는', '기술', '원자력', '실제', '언급', '다만', '때문', '지난', '발전', '측면', '있는', '아니라', '굉장히', '크다', '예상', '된다', '전문가', '우리나라', '이후', '우리', '이상']",심상정,절반의 사실
151,경제,"대장동 개발사업 하면서 도로, 터널, 공원 만든 건 이익 환수 아니다","['환수', '개발', '사업', '공원', '후보', '구역', '개발이익', '했다', '대장동', '이익', '기반시설', '성남시', '터널', '포함', '비용', '윤석열', '기부채납', '하는', '도로', '이재명', '있는', '사업자', '성남', '경실련', '시설', '대선', '하지', '않는다', '만든', '추가', '지은', '전문가', '보고', '한다', '성비', '도시', '대물', '접근']",윤석열,대체로 사실 아님
152,경제,북한이 군사 도발하면 주가가 떨어진다,"['핵실험', '코스피', '북한', '하락', '주가', '했다', '미사일', '영향', '발사', '회복', '지수', '주식시장', '기록', '전일', '있었던', '됐다', '했고', '사건', '미치는', '정용진', '신세계', '부회장', '쏘면', '투자', '리스크', '짧게는', '하루', '길게는', '도발', '강행', '실시', '당일', '평균', '전날', '상승세', '어가', '다음', '일주일', '그쳤다', '천안함', '피격', '연평도', '포격', '연휴', '탄도미사일']",언론사 자체 문제제기,절반의 사실
153,경제,이재명의 태양광 그늘막 공약은 중국 업체들을 위한 것이다,"['태양광', '공약', '중국산', '모듈', '중국', '국산', '점유', '설치', '했다', '국민', '대표', '국내', '이재명', '후보', '업체', '그늘', '패널', '사용', '이준석', '기준', '상황', '미국', '장비', '세계', '제안', '확행', '고속도로', '댓글', '지적', '비중', '국가', '정책', '비판', '되는', '에너지', '있다', '의원', '시장', '따르면', '조립']",이준석,대체로 사실 아님
154,경제,우리나라 산업용 전기요금이 다른 나라보다 비싸다,"['전기요금', '산업', '우리나라', '후보', '평균', '교수', '가격', '윤석열', '가운데', '가정', '서울대', '원자핵', '학과', '대한', '걸까', '회원', '국민', '대선', '인상', '백지', '공약', '당시', '기자회견', '배석', '다른', '나라', '비싸다', '전기', '보충', '설명', '비싼', '공개', '개국']",주한규,절반의 사실
155,경제,"중대재해처벌법 처벌수위, 해외에서 보기 어려울 만큼 높다","['처벌', '재해', '중대', '안전', '대한', '산업', '있다', '기업', '수위', '해외', '나라', '관리', '형사', '책임', '경영', '보건', '제정', '묻는', '법률', '의무', '우리나라', '영국', '캐나다', '호주', '단체', '만큼', '취지', '위반', '책임자', '비교', '있습니다', '살인', '하는', '산안']","경제단체, 다수 언론의 문제 제기",대체로 사실 아님
156,경제,알짜 사업 물적분할은 기존 주주의 주주권 침해다,"['분할', '사업', '회사', '기업', '주주', '기존', '모회사', '가치', '상장', '하는', '자회사', '신설', '핵심', '있다', '하락', '만들고', '화학', '분할해', '청원', '금지', '때문', '국내', '대기업', '성장', '있는', '분리', '별도', '사례', '잇따르고', '에너지', '솔루션', '소액', '한다', '손실', '알짜', '침해', '이론', '주식', '변동', '자본시장', '반대']",청와대 국민청원,절반의 사실
157,경제,재생에너지 발전 비중 높여도 전력수급 안전하다,"['재생에너지', '전력', '덴마크', '발전', '공급', '에너지', '안정', '비중', '전환', '있다', '성과', '했다', '탄소', '중립', '생산', '한다', '국가', '정부', '계획', '관계자', '비용', '유연성', '오는', '수급', '우려', '찾아', '자립', '세계', '최초', '쇠섬', '직접', '현재', '기간', '있다는', '높이면서', '대표', '통해', '화력발전소', '체계', '높은', '시간']",정부,대체로 사실
158,경제,"신규 석탄발전소, 환경적·경제적 측면에서 의미 없다","['석탄', '발전소', '신규', '전력', '발전', '했다', '정부', '건설', '취소', '사업', '수급', '환경', '하는', '비용', '경제', '거나', '업계', '보상', '노후', '계획', '없으니', '따라', '추진', '좌초', '설비', '해야', '평가', '한다', '지난해', '가동', '준공', '공급', '위해', '에너지', '방식']",기후솔루션,대체로 사실 아님
159,경제,연초 꽃값 폭등은 도매상 담합 때문이다,"['도매', '화훼', '담합', '코로나', '경매', '가격', '하는', '평균', '지난해', '거래량', '급등', '감소', '의혹', '청원', '상승', '거래', '꽃값', '공판', '했다', '연초', '졸업식', '농가', '폐업', '물량', '제기', '있다', '지난주', '소매', '의심', '때문', '장미', '화류', '증가']",청와대 국민청원,전혀 사실 아님
160,경제,주52시간제가 광주 아파트 참사의 근본적인 원인이다,"['사고', '공사', '했다', '광주', '보도', '원인', '기간', '이번', '산업', '지난', '참사', '건설', '공정', '시공사', '공기', '때문', '단축', '현장', '붕괴', '뉴스투데이', '건설업', '아파트', '무리한', '개발', '시행', '수주', '관리', '발생', '화정동', '아이파크', '신축', '근본', '추가', '맞추기', '위해', '진행', '계획', '언론', '불렀다', '연구원', '오후', '광역시', '현대', '의견', '근무', '사업', '고려', '투입', '인력', '따라서', '전혀', '아님', '우려', '준공', '지적', '한국', '보고서', '노동자', '부실', '하는', '면서', '위원', '부족', '밝혔다', '근로', '근로시간']",언론 보도,전혀 사실 아님
161,경제,"탈모약 보험 적용, 700~800억 원이면 된다","['보험', '탈모', '건강', '후보', '있습니다', '이재명', '적용', '정도', '입니다', '요량', '의료', '데이터', '예측', '대한', '때문', '시장', '규모', '부담', '교수', '민주당', '비판', '기준', '계산', '통계', '중요한', '서비스', '수요']",이재명,판단 유보
162,경제,"국민연금 2055년 고갈되고, 2088년까지 누적적자가 1경 7천조다","['국민연금', '재정', '기금', '적자', '적립', '고갈', '누적', '제도', '후보', '지난', '시점', '연금', '소진', '소득', '장기', '전망', '결과', '추계', '계산', '개혁', '수지', '보험료', '안철수', '프로', '했다', '향후', '대체', '대선', '되고', '보건복지부', '발표', '변화', '거시경제', '하는', '국민의당', '바탕', '따라', '가능성', '규모', '때문', '절반', '국회예산정책처', '근거', '자료', '매년', '단순', '합산', '된다는', '유지', '실제', '노후', '강화', '했지만', '많은']",안철수,절반의 사실
163,경제,"주휴수당, 식대 포함하면 최저임금이 만원을 상회한다","['최저임금', '포함', '주휴수당', '계산', '근로시간', '있다', '법정', '유급', '휴일', '실제', '하면', '경우', '시간', '했다', '넘는다', '한다', '절반', '식대', '복리', '후생', '제외', '근로자', '기준', '임금', '하는', '후보', '지금', '조금', '여기', '식사', '제공', '만원', '상회', '명목', '했을', '미만', '단기', '되지', '해야', '나누도록']",윤석열,절반의 사실
164,경제,IMF가 적정국가채무비율 85% 권고했다,"['비율', '부채', '적정', '기축통화', '했다', '하는', '보고서', '권고', '수준', '나라', '언급', '후보', '다른', '우리나라', '있다', '대해', '수치', '국제', '재정', '통화', '평균', '오히려', '있는', '없다', '하기', '이재명', '지난', '상황', '공식', '적은', '아니었다', '또한', '비교', '지적', '대비', '국가', '국가채무', '대선', '블로그', '이런', '서는', '정도', '적정하다', '그러냐', '문제', '제기', '특정', '관계자', '결제', '은행', '넘으면', '위험하다는', '전문가', '계산', '이론', '따르면', '미국', '일본', '유지', '했다고', '때문', '위해', '유럽']",이재명,전혀 사실 아님
165,경제,"공기업 부채 많은데, 우리나라 부채비율 낮다는 정치인은 국민 속이는 것이다","['부채', '공기업', '비율', '우리나라', '포함', '수준', '후보', '나라', '하는', '하면', '낮은', '연금', '충당', '안철수', '했다', '국가부채', '기준', '프로', '다른', '정치인', '선진국', '부문', '대선', '낮다고', '국민', '속이는', '주요', '비교', '규모', '국제', '자료', '발표', '대비', '공개', '하다', '우리', '정부', '쌓여', '구별', '여전히', '대체로', '아님', '국가채무', '가운데', '한국', '경제', '전혀', '이었다', '평균']",안철수,대체로 사실 아님
166,경제,"작전주인지 모르고 투자, 고의가 없어 무죄다","['후보', '주가조작', '전주', '투자', '이재명', '공범', '했다', '무죄', '주식', '고의', '프로', '친구', '모르고', '없어', '권유', '시효', '성립', '범죄', '당시', '행위', '자본시장', '국민', '조선일보', '반박', '대선', '공개', '증권', '회사', '근무', '하는', '실제', '때문', '대체로', '조종', '페이스북', '관련', '시세']",이재명,대체로 사실
167,경제,부자나라에만 집중된 부스터샷이 오미크론 확산 악영향을 준다,"['부스터', '오미크론', '국가', '백신', '접종', '확산', '코로나', '나라', '데이터', '달러', '했습니다', '있습니다', '사무', '총장', '입니다', '월드', '소득', '지역', '세계', '부자', '모두', '바이러스', '논문', '워드', '로스', '최근', '하는', '연구', '참고', '분석', '진자', '많은', '높은', '공급', '실제', '시간', '민족주의', '기준', '미국', '확진율', '감염', '우세', '종이', '됐습니다', '선진국', '인당', '이하', '결과', '우리']",테워드로스 아드하놈 거브러여수스,판단 유보
168,경제,"종부세, 가구 단위로 하면 국민의 10% 정도가 영향 받는다","['가구', '종부세', '후보', '윤석열', '주택', '과세', '납부', '국민', '프로', '영향', '기준', '지난', '받는다', '각각', '했다', '단위', '모두', '비율', '유튜브', '공개', '발언', '아닌', '인별', '하는', '아님', '세대', '채널', '대선', '조회', '실제', '하면', '정도', '대별', '이기', '계산', '가운데', '개인', '독립', '가정', '추산', '하더라도', '전국', '전혀', '판정', '한다', '소유', '부부']",윤석열,전혀 사실 아님
169,경제,"빌게이츠·저커버그·머스크, 양극화 걱정하며 기본소득 주장했다","['기본소득', '했다', '저커버그', '게이츠', '머스크', '후보', '언급', '로봇', '글로벌', '들이', '문제', '도입', '자동화', '마크', '사회', '보편', '노동', '양극화', '하며', '기업', '생각', '같은', '맥락', '창의성', '미래', '강조', '한다', '이어', '나머지', '지금', '충분히', '사람', '시간', '있다', '인한', '이재명', '대선', '이런', '걱정', '하자고', '하지', '않으면', '과도', '집중', '특정', '살아남고', '죽어', '시장', '주의', '질서', '무너진다', '이러다', '큰일', '나겠다', '독점', '나라', '알래스카', '구조', '변화', '다른', '복지']",이재명,대체로 사실 아님
170,경제,알바로 2천만~3천만원 번다,"['아르바이트', '알바', '더불어', '민주당', '후보', '대변인', '있는', '시급', '최저임금', '동호', '알바로', '아르바이트생', '평균', '분석', '결과', '이재명', '대선', '아들', '수입', '대위', '정도', '됐다', '재산', '출처', '연간', '이상', '참고']",현근택,절반의 사실
171,경제,금리를 변경해도 약 99%에 달하는 고객은 기존과 변함없는 혜택을 누릴 것이다,"['금리', '토스', '뱅크', '기준', '가입자', '금액', '했다', '예치', '관계자', '변경', '하는', '대해', '고객', '없는', '혜택', '은행', '공개', '내년', '변함', '서는', '숫자', '있다', '하지', '있을', '경우', '기존', '통장', '제공', '초과', '적용', '하기로', '정책', '설명', '규모', '영향', '때문']",토스뱅크,판단 유보
172,경제,기업 로고를 패러디해서 선거 홍보에 활용하면 상표법 위반이다,"['패러디', '선거', '상표', '홍보', '위반', '인터뷰', '참고', '지지자', '해당', '부정', '경쟁', '정당', '후보', '특정', '로고', '상품', '방지법', '변호사']","언론사 자체 문제 제기, 온라인 커뮤니티",전혀 사실 아님
173,경제,신생아 1인당 예산은 2억 원이다,"['예산', '신생아', '저출산', '인당', '지원', '했다', '집계', '사회', '조선일보', '관련', '지난', '직접', '수당', '보도', '사업', '명당', '고령', '투입', '작년', '출생', '인터넷', '커뮤니티', '이라면서', '누리꾼', '일부', '언론', '존재', '하지', '정부', '분야', '간접', '전문가', '아기', '위원회', '해결', '정책']",인터넷 커뮤니티,전혀 사실 아님
174,경제,"자영업 비중, 우리나라 OECD 2등이다","['영업', '비중', '했다', '국내', '정도', '자영', '우리나라', '터키', '업자', '적정', '지원', '아닌', '있었다', '감소', '전략', '좋은', '콜롬비아', '우리', '높은', '수치', '보고서', '폐업', '안철수', '대선', '후보', '수가', '다음', '한국', '다만', '선진국', '꼽히는', '편이었다', '데이터', '따르면', '하면', '독일', '일본', '미국', '비교', '정책', '공급', '수익', '하는', '교육', '출구']",안철수,전혀 사실 아님
175,경제,불법 논란 '왕릉뷰 아파트'는 위치에 따라 부분 철거해야 하지만 사실상 불가능하다,"['아파트', '문화', '철거', '재청', '문화재', '분석', '대한', '결과', '건설', '문제', '경관', '일부', '있다', '에듀', '단지', '왕릉', '자체', '하는', '김포', '장릉', '심의', '기술', '궁능', '유적', '논란', '했다', '기준', '인천', '대방', '금성', '백조', '미지', '트리플', '광로', '제비', '주변', '위치', '행정', '부분', '해야', '건물', '비용', '때문', '보호', '기존', '포레', '건너', '김현모', '청장', '조가', '올라간', '확인', '내용', '시뮬레이션', '본부', '위원회', '지난', '검토', '있는', '인근', '업체', '확보', '허가']","다수 언론 매체, 온라인 커뮤니티",대체로 사실 아님
176,경제,"국민·공무원연금 개혁, 둘 다 안한 정부는 문재인 정부가 유일하다","['연금', '개혁', '정부', '공무원', '했다', '국민연금', '적자', '됐다', '재정', '역대', '이후', '인상', '수급', '소득', '지난', '문제', '대체', '고갈', '대선', '후보', '문재인', '김대중', '국회', '되지', '증가', '전망', '당시', '연령', '지급', '보전', '안철수', '유일하다', '제도', '김영삼', '노무현정부', '박근혜정부', '제출', '논의', '구체화', '노령', '가중', '차례', '도입', '부담', '지난해', '기여']",안철수,사실
177,경제,청년확장실업률이 27%를 넘나들어 청년 4명 중 1명이 실업이다,"['실업률', '청년', '확장', '고용', '후보', '코로나', '상황', '최고', '언급', '수치', '이후', '대비', '취업', '했다', '올해', '하는', '때문', '경제활동', '인구', '시간', '실업', '다만', '시장', '공식', '추가', '심상정', '대선', '지난', '지금', '나든다', '특성', '특정', '진단', '문제', '있다', '월별', '편차', '가깝다', '악화', '절반', '한다', '통계', '실업자', '잠재', '관련', '가능', '동월', '치를', '감소', '이전', '기준']",심상정,절반의 사실
178,경제,탈원전에 따른 손실을 전력기금으로 보전해준다,"['원전', '전력', '보전', '비용', '기금', '사업', '손실', '국민', '마련', '했다', '지난', '따른', '전기', '사업자', '호기', '후보', '하지', '전기요금', '준조세', '개정', '근거', '산업', '윤석열', '대선', '해준다고', '한다', '무모하게', '추진', '않았더라면', '인상', '압박', '없었을', '이처럼', '꾸는', '일도', '있었을', '지적', '정부', '시행', '계획', '심의', '발전', '결정', '경우']",윤석열,사실
179,경제,"SMR(소형모듈원전), 경제·안전성 개선 없다","['원전', '있다', '건설', '지난', '했다', '개발', '상용', '원자력', '단체', '미국', '경제', '단가', '한다', '후보', '기존', '단계', '기술', '가능성', '투자', '발전', '비용', '에너지', '소형모듈원전', '경제성', '정도', '끝나지', '혁신', '있다는', '대형', '하는', '산업', '사업', '안전성', '소듐', '심상정', '대선', '실체', '없다', '전문가', '떨어지고', '위험성', '차이', '없다고', '둘러싼', '않고', '보인다', '단점', '국내', '환경', '붕괴', '냉각', '장점', '위험', '통상', '소형', '비판', '지적', '우려', '전환', '포럼', '따르면', '대응', '문제']",심상정,판단 유보
180,경제,올해 초과 세수는 50조원이다,"['초과', '세수', '올해', '규모', '예산', '시점', '기준', '국민', '언급', '했다', '추경', '원금', '더불어', '민주당', '정부', '지급', '당초', '전망', '추가', '관련', '되며', '혼선', '지고', '예상', '보인다', '기획재정부', '보도', '참고자료', '하는', '입니다', '편성', '수치', '교수', '인터뷰']",윤호중,대체로 사실
181,경제,"문재인 정부 기간 동안 역대 어느 정부보다 입주·인허가 물량이 많았으며, 앞으로 계획되고 있는 물량도 많다","['정부', '물량', '허가', '착공', '자료', '대통령', '대해', '발언', '통계', '국토부', '주택']",문재인,대체로 사실
